MaSo,MaTinhThanh,Ten,DonVi,EnglishName
349,35,Duy Tiên,Thị xã,DuyTien
350,35,Kim Bảng,Huyện,KimBang
351,35,Thanh Liêm,Huyện,ThanhLiem
352,35,Bình Lục,Huyện,BinhLuc
353,35,Lý Nhân,Huyện,LyNhan
356,36,Nam Định,Thành phố,NamDinh
359,36,Vụ Bản,Huyện,VuBan
360,36,Ý Yên,Huyện,YYen
361,36,Nghĩa Hưng,Huyện,NghiaHung
362,36,Nam Trực,Huyện,NamTruc
363,36,Trực Ninh,Huyện,TrucNinh
364,36,Xuân Trường,Huyện,XuanTruong
365,36,Giao Thủy,Huyện,GiaoThuy
366,36,Hải Hậu,Huyện,HaiHau
369,37,Ninh Bình,Thành phố,NinhBinh
370,37,Tam Điệp,Thành phố,TamDiep
372,37,Nho Quan,Huyện,NhoQuan
373,37,Gia Viễn,Huyện,GiaVien
374,37,Hoa Lư,Huyện,HoaLu
375,37,Yên Khánh,Huyện,YenKhanh
376,37,Kim Sơn,Huyện,KimSon
377,37,Yên Mô,Huyện,YenMo
380,38,Thanh Hóa,Thành phố,ThanhHoa
381,38,Bỉm Sơn,Thị xã,BimSon
382,38,Sầm Sơn,Thành phố,SamSon
384,38,Mường Lát,Huyện,MuongLat
385,38,Quan Hóa,Huyện,QuanHoa
386,38,Bá Thước,Huyện,BaThuoc
387,38,Quan Sơn,Huyện,QuanSon
388,38,Lang Chánh,Huyện,LangChanh
389,38,Ngọc Lặc,Huyện,NgocLac
390,38,Cẩm Thủy,Huyện,CamThuy
391,38,Thạch Thành,Huyện,ThachThanh
392,38,Hà Trung,Huyện,HaTrung
393,38,Vĩnh Lộc,Huyện,VinhLoc
394,38,Yên Định,Huyện,YenDinh
395,38,Thọ Xuân,Huyện,ThoXuan
396,38,Thường Xuân,Huyện,ThuongXuan
397,38,Triệu Sơn,Huyện,TrieuSon
398,38,Thiệu Hóa,Huyện,ThieuHoa
399,38,Hoằng Hóa,Huyện,HoangHoa
400,38,Hậu Lộc,Huyện,HauLoc
401,38,Nga Sơn,Huyện,NgaSon
402,38,Như Xuân,Huyện,NhuXuan
403,38,Như Thanh,Huyện,NhuThanh
