MaSo,MaTinhThanh,Ten,DonVi,EnglishName
910,91,Vĩnh Thuận,Huyện,VinhThuan
911,91,Phú Quốc,Thành phố,PhuQuoc
912,91,Kiên Hải,Huyện,KienHai
913,91,U Minh Thượng,Huyện,UMinhThuong
914,91,Giang Thành,Huyện,GiangThanh
916,92,Ninh Kiều,Quận,NinhKieu
917,92,Ô Môn,Quận,OMon
918,92,Bình Thuỷ,Quận,BinhThuy
919,92,Cái Răng,Quận,CaiRang
923,92,Thốt Nốt,Quận,ThotNot
924,92,Vĩnh Thạnh,Huyện,VinhThanh
925,92,Cờ Đỏ,Huyện,CoDo
926,92,Phong Điền,Huyện,PhongDien
927,92,Thới Lai,Huyện,ThoiLai
930,93,Vị Thanh,Thành phố,ViThanh
931,93,Ngã Bảy,Thành phố,NgaBay
932,93,Châu Thành A,Huyện,ChauThanhA
933,93,Châu Thành,Huyện,ChauThanh
934,93,Phụng Hiệp,Huyện,PhungHiep
935,93,Vị Thuỷ,Huyện,ViThuy
936,93,Long Mỹ,Huyện,LongMy
937,93,Long Mỹ,Thị xã,LongMy
941,94,Sóc Trăng,Thành phố,SocTrang
942,94,Châu Thành,Huyện,ChauThanh
943,94,Kế Sách,Huyện,KeSach
944,94,Mỹ Tú,Huyện,MyTu
945,94,Cù Lao Dung,Huyện,CuLaoDung
946,94,Long Phú,Huyện,LongPhu
947,94,Mỹ Xuyên,Huyện,MyXuyen
948,94,Ngã Năm,Thị xã,NgaNam
949,94,Thạnh Trị,Huyện,ThanhTri
950,94,Vĩnh Châu,Thị xã,VinhChau
951,94,Trần Đề,Huyện,TranDe
954,95,Bạc Liêu,Thành phố,BacLieu
956,95,Hồng Dân,Huyện,HongDan
957,95,Phước Long,Huyện,PhuocLong
958,95,Vĩnh Lợi,Huyện,VinhLoi
959,95,Giá Rai,Thị xã,GiaRai
960,95,Đông Hải,Huyện,DongHai
961,95,Hoà Bình,Huyện,HoaBinh
964,96,Cà Mau,Thành phố,CaMau
966,96,U Minh,Huyện,UMinh
967,96,Thới Bình,Huyện,ThoiBinh
968,96,Trần Văn Thời,Huyện,TranVanThoi
969,96,Cái Nước,Huyện,CaiNuoc
970,96,Đầm Dơi,Huyện,DamDoi
971,96,Năm Căn,Huyện,NamCan
972,96,Phú Tân,Huyện,PhuTan
973,96,Ngọc Hiển,Huyện,NgocHien
