MaSo,MaQuanHuyen,Ten,DonVi,EnglishName
1,1,Phúc Xá,Phường,PhucXa
4,1,Trúc Bạch,Phường,TrucBach
6,1,Vĩnh Phúc,Phường,VinhPhuc
7,1,Cống Vị,Phường,CongVi
8,1,Liễu Giai,Phường,LieuGiai
10,1,Nguyễn Trung Trực,Phường,NguyenTrungTruc
13,1,Quán Thánh,Phường,QuanThanh
16,1,Ngọc Hà,Phường,NgocHa
19,1,Điện Biên,Phường,DienBien
22,1,Đội Cấn,Phường,DoiCan
25,1,Ngọc Khánh,Phường,NgocKhanh
28,1,Kim Mã,Phường,KimMa
31,1,Giảng Võ,Phường,GiangVo
34,1,Thành Công,Phường,ThanhCong
37,2,Phúc Tân,Phường,PhucTan
40,2,Đồng Xuân,Phường,DongXuan
43,2,Hàng Mã,Phường,HangMa
46,2,Hàng Buồm,Phường,HangBuom
49,2,Hàng Đào,Phường,HangDao
52,2,Hàng Bồ,Phường,HangBo
55,2,Cửa Đông,Phường,CuaDong
58,2,Lý Thái Tổ,Phường,LyThaiTo
61,2,Hàng Bạc,Phường,HangBac
64,2,Hàng Gai,Phường,HangGai
67,2,Chương Dương,Phường,ChuongDuong
70,2,Hàng Trống,Phường,HangTrong
73,2,Cửa Nam,Phường,CuaNam
76,2,Hàng Bông,Phường,HangBong
79,2,Tràng Tiền,Phường,TrangTien
82,2,Trần Hưng Đạo,Phường,TranHungDao
85,2,Phan Chu Trinh,Phường,PhanChuTrinh
88,2,Hàng Bài,Phường,HangBai
91,3,Phú Thượng,Phường,PhuThuong
94,3,Nhật Tân,Phường,NhatTan
97,3,Tứ Liên,Phường,TuLien
100,3,Quảng An,Phường,QuangAn
103,3,Xuân La,Phường,XuanLa
106,3,Yên Phụ,Phường,YenPhu
109,3,Bưởi,Phường,Buoi
112,3,Thụy Khuê,Phường,ThuyKhue
115,4,Thượng Thanh,Phường,ThuongThanh
118,4,Ngọc Thụy,Phường,NgocThuy
121,4,Giang Biên,Phường,GiangBien
124,4,Đức Giang,Phường,DucGiang
127,4,Việt Hưng,Phường,VietHung
130,4,Gia Thụy,Phường,GiaThuy
133,4,Ngọc Lâm,Phường,NgocLam
136,4,Phúc Lợi,Phường,PhucLoi
139,4,Bồ Đề,Phường,BoDe
142,4,Sài Đồng,Phường,SaiDong
145,4,Long Biên,Phường,LongBien
148,4,Thạch Bàn,Phường,ThachBan
151,4,Phúc Đồng,Phường,PhucDong
154,4,Cự Khối,Phường,CuKhoi
157,5,Nghĩa Đô,Phường,NghiaDo
160,5,Nghĩa Tân,Phường,NghiaTan
163,5,Mai Dịch,Phường,MaiDich
166,5,Dịch Vọng,Phường,DichVong
167,5,Dịch Vọng Hậu,Phường,DichVongHau
169,5,Quan Hoa,Phường,QuanHoa
172,5,Yên Hoà,Phường,YenHoa
175,5,Trung Hoà,Phường,TrungHoa
178,6,Cát Linh,Phường,CatLinh
181,6,Văn Miếu,Phường,VanMieu
184,6,Quốc Tử Giám,Phường,QuocTuGiam
187,6,Láng Thượng,Phường,LangThuong
190,6,Ô Chợ Dừa,Phường,OChoDua
193,6,Văn Chương,Phường,VanChuong
196,6,Hàng Bột,Phường,HangBot
199,6,Láng Hạ,Phường,LangHa
202,6,Khâm Thiên,Phường,KhamThien
205,6,Thổ Quan,Phường,ThoQuan
208,6,Nam Đồng,Phường,NamDong
211,6,Trung Phụng,Phường,TrungPhung
214,6,Quang Trung,Phường,QuangTrung
217,6,Trung Liệt,Phường,TrungLiet
220,6,Phương Liên,Phường,PhuongLien
223,6,Thịnh Quang,Phường,ThinhQuang
226,6,Trung Tự,Phường,TrungTu
229,6,Kim Liên,Phường,KimLien
232,6,Phương Mai,Phường,PhuongMai
235,6,Ngã Tư Sở,Phường,NgaTuSo
238,6,Khương Thượng,Phường,KhuongThuong
241,7,Nguyễn Du,Phường,NguyenDu
244,7,Bạch Đằng,Phường,BachDang
247,7,Phạm Đình Hổ,Phường,PhamDinhHo
256,7,Lê Đại Hành,Phường,LeDaiHanh
259,7,Đồng Nhân,Phường,DongNhan
262,7,Phố Huế,Phường,PhoHue
265,7,Đống Mác,Phường,DongMac
268,7,Thanh Lương,Phường,ThanhLuong
271,7,Thanh Nhàn,Phường,ThanhNhan
274,7,Cầu Dền,Phường,CauDen
277,7,Bách Khoa,Phường,BachKhoa
280,7,Đồng Tâm,Phường,DongTam
283,7,Vĩnh Tuy,Phường,VinhTuy
286,7,Bạch Mai,Phường,BachMai
289,7,Quỳnh Mai,Phường,QuynhMai
292,7,Quỳnh Lôi,Phường,QuynhLoi
295,7,Minh Khai,Phường,MinhKhai
298,7,Trương Định,Phường,TruongDinh
301,8,Thanh Trì,Phường,ThanhTri
304,8,Vĩnh Hưng,Phường,VinhHung
307,8,Định Công,Phường,DinhCong
310,8,Mai Động,Phường,MaiDong
313,8,Tương Mai,Phường,TuongMai
316,8,Đại Kim,Phường,DaiKim
319,8,Tân Mai,Phường,TanMai
322,8,Hoàng Văn Thụ,Phường,HoangVanThu
325,8,Giáp Bát,Phường,GiapBat
328,8,Lĩnh Nam,Phường,LinhNam
331,8,Thịnh Liệt,Phường,ThinhLiet
334,8,Trần Phú,Phường,TranPhu
337,8,Hoàng Liệt,Phường,HoangLiet
340,8,Yên Sở,Phường,YenSo
343,9,Nhân Chính,Phường,NhanChinh
346,9,Thượng Đình,Phường,ThuongDinh
349,9,Khương Trung,Phường,KhuongTrung
352,9,Khương Mai,Phường,KhuongMai
355,9,Thanh Xuân Trung,Phường,ThanhXuanTrung
358,9,Phương Liệt,Phường,PhuongLiet
361,9,Hạ Đình,Phường,HaDinh
364,9,Khương Đình,Phường,KhuongDinh
367,9,Thanh Xuân Bắc,Phường,ThanhXuanBac
370,9,Thanh Xuân Nam,Phường,ThanhXuanNam
373,9,Kim Giang,Phường,KimGiang
376,16,Sóc Sơn,Thị trấn,SocSon
379,16,Bắc Sơn,Xã,BacSon
382,16,Minh Trí,Xã,MinhTri
385,16,Hồng Kỳ,Xã,HongKy
388,16,Nam Sơn,Xã,NamSon
391,16,Trung Giã,Xã,TrungGia
394,16,Tân Hưng,Xã,TanHung
397,16,Minh Phú,Xã,MinhPhu
400,16,Phù Linh,Xã,PhuLinh
403,16,Bắc Phú,Xã,BacPhu
406,16,Tân Minh,Xã,TanMinh
409,16,Quang Tiến,Xã,QuangTien
412,16,Hiền Ninh,Xã,HienNinh
415,16,Tân Dân,Xã,TanDan
418,16,Tiên Dược,Xã,TienDuoc
421,16,Việt Long,Xã,VietLong
424,16,Xuân Giang,Xã,XuanGiang
427,16,Mai Đình,Xã,MaiDinh
430,16,Đức Hoà,Xã,DucHoa
433,16,Thanh Xuân,Xã,ThanhXuan
436,16,Đông Xuân,Xã,DongXuan
439,16,Kim Lũ,Xã,KimLu
442,16,Phú Cường,Xã,PhuCuong
445,16,Phú Minh,Xã,PhuMinh
448,16,Phù Lỗ,Xã,PhuLo
451,16,Xuân Thu,Xã,XuanThu
454,17,Đông Anh,Thị trấn,DongAnh
457,17,Xuân Nộn,Xã,XuanNon
460,17,Thuỵ Lâm,Xã,ThuyLam
463,17,Bắc Hồng,Xã,BacHong
466,17,Nguyên Khê,Xã,NguyenKhe
469,17,Nam Hồng,Xã,NamHong
472,17,Tiên Dương,Xã,TienDuong
475,17,Vân Hà,Xã,VanHa
478,17,Uy Nỗ,Xã,UyNo
481,17,Vân Nội,Xã,VanNoi
484,17,Liên Hà,Xã,LienHa
487,17,Việt Hùng,Xã,VietHung
490,17,Kim Nỗ,Xã,KimNo
493,17,Kim Chung,Xã,KimChung
496,17,Dục Tú,Xã,DucTu
499,17,Đại Mạch,Xã,DaiMach
502,17,Vĩnh Ngọc,Xã,VinhNgoc
505,17,Cổ Loa,Xã,CoLoa
508,17,Hải Bối,Xã,HaiBoi
511,17,Xuân Canh,Xã,XuanCanh
514,17,Võng La,Xã,VongLa
517,17,Tàm Xá,Xã,TamXa
520,17,Mai Lâm,Xã,MaiLam
523,17,Đông Hội,Xã,DongHoi
526,18,Yên Viên,Thị trấn,YenVien
529,18,Yên Thường,Xã,YenThuong
532,18,Yên Viên,Xã,YenVien
535,18,Ninh Hiệp,Xã,NinhHiep
538,18,Đình Xuyên,Xã,DinhXuyen
541,18,Dương Hà,Xã,DuongHa
544,18,Phù Đổng,Xã,PhuDong
547,18,Trung Mầu,Xã,TrungMau
550,18,Lệ Chi,Xã,LeChi
553,18,Cổ Bi,Xã,CoBi
556,18,Đặng Xá,Xã,DangXa
559,18,Phú Thị,Xã,PhuThi
562,18,Kim Sơn,Xã,KimSon
565,18,Trâu Quỳ,Thị trấn,TrauQuy
568,18,Dương Quang,Xã,DuongQuang
571,18,Dương Xá,Xã,DuongXa
574,18,Đông Dư,Xã,DongDu
577,18,Đa Tốn,Xã,DaTon
580,18,Kiêu Kỵ,Xã,KieuKy
583,18,Bát Tràng,Xã,BatTrang
586,18,Kim Lan,Xã,KimLan
589,18,Văn Đức,Xã,VanDuc
592,19,Cầu Diễn,Phường,CauDien
595,21,Thượng Cát,Phường,ThuongCat
598,21,Liên Mạc,Phường,LienMac
601,21,Đông Ngạc,Phường,DongNgac
602,21,Đức Thắng,Phường,DucThang
604,21,Thụy Phương,Phường,ThuyPhuong
607,21,Tây Tựu,Phường,TayTuu
610,21,Xuân Đỉnh,Phường,XuanDinh
611,21,Xuân Tảo,Phường,XuanTao
613,21,Minh Khai,Phường,MinhKhai
616,21,Cổ Nhuế 1,Phường,CoNhue1
617,21,Cổ Nhuế 2,Phường,CoNhue2
619,21,Phú Diễn,Phường,PhuDien
620,21,Phúc Diễn,Phường,PhucDien
622,19,Xuân Phương,Phường,XuanPhuong
623,19,Phương Canh,Phường,PhuongCanh
625,19,Mỹ Đình 1,Phường,MyDinh1
626,19,Mỹ Đình 2,Phường,MyDinh2
628,19,Tây Mỗ,Phường,TayMo
631,19,Mễ Trì,Phường,MeTri
632,19,Phú Đô,Phường,PhuDo
634,19,Đại Mỗ,Phường,DaiMo
637,19,Trung Văn,Phường,TrungVan
640,20,Văn Điển,Thị trấn,VanDien
643,20,Tân Triều,Xã,TanTrieu
646,20,Thanh Liệt,Xã,ThanhLiet
649,20,Tả Thanh Oai,Xã,TaThanhOai
652,20,Hữu Hoà,Xã,HuuHoa
655,20,Tam Hiệp,Xã,TamHiep
658,20,Tứ Hiệp,Xã,TuHiep
661,20,Yên Mỹ,Xã,YenMy
664,20,Vĩnh Quỳnh,Xã,VinhQuynh
667,20,Ngũ Hiệp,Xã,NguHiep
670,20,Duyên Hà,Xã,DuyenHa
673,20,Ngọc Hồi,Xã,NgocHoi
676,20,Vạn Phúc,Xã,VanPhuc
679,20,Đại áng,Xã,Daiang
682,20,Liên Ninh,Xã,LienNinh
685,20,Đông Mỹ,Xã,DongMy
688,24,Quang Trung,Phường,QuangTrung
691,24,Trần Phú,Phường,TranPhu
692,24,Ngọc Hà,Phường,NgocHa
694,24,Nguyễn Trãi,Phường,NguyenTrai
697,24,Minh Khai,Phường,MinhKhai
700,24,Ngọc Đường,Xã,NgocDuong
703,30,Kim Thạch,Xã,KimThach
706,30,Phú Linh,Xã,PhuLinh
709,30,Kim Linh,Xã,KimLinh
712,26,Phó Bảng,Thị trấn,PhoBang
715,26,Lũng Cú,Xã,LungCu
718,26,Má Lé,Xã,MaLe
721,26,Đồng Văn,Thị trấn,DongVan
724,26,Lũng Táo,Xã,LungTao
727,26,Phố Là,Xã,PhoLa
730,26,Thài Phìn Tủng,Xã,ThaiPhinTung
733,26,Sủng Là,Xã,SungLa
736,26,Xà Phìn,Xã,XaPhin
739,26,Tả Phìn,Xã,TaPhin
742,26,Tả Lủng,Xã,TaLung
745,26,Phố Cáo,Xã,PhoCao
748,26,Sính Lủng,Xã,SinhLung
751,26,Sảng Tủng,Xã,SangTung
754,26,Lũng Thầu,Xã,LungThau
757,26,Hố Quáng Phìn,Xã,HoQuangPhin
760,26,Vần Chải,Xã,VanChai
763,26,Lũng Phìn,Xã,LungPhin
766,26,Sủng Trái,Xã,SungTrai
769,27,Mèo Vạc,Thị trấn,MeoVac
772,27,Thượng Phùng,Xã,ThuongPhung
775,27,Pải Lủng,Xã,PaiLung
778,27,Xín Cái,Xã,XinCai
781,27,Pả Vi,Xã,PaVi
784,27,Giàng Chu Phìn,Xã,GiangChuPhin
787,27,Sủng Trà,Xã,SungTra
790,27,Sủng Máng,Xã,SungMang
793,27,Sơn Vĩ,Xã,SonVi
796,27,Tả Lủng,Xã,TaLung
799,27,Cán Chu Phìn,Xã,CanChuPhin
802,27,Lũng Pù,Xã,LungPu
805,27,Lũng Chinh,Xã,LungChinh
808,27,Tát Ngà,Xã,TatNga
811,27,Nậm Ban,Xã,NamBan
814,27,Khâu Vai,Xã,KhauVai
815,27,Niêm Tòng,Xã,NiemTong
817,27,Niêm Sơn,Xã,NiemSon
820,28,Yên Minh,Thị trấn,YenMinh
823,28,Thắng Mố,Xã,ThangMo
826,28,Phú Lũng,Xã,PhuLung
829,28,Sủng Tráng,Xã,SungTrang
832,28,Bạch Đích,Xã,BachDich
835,28,Na Khê,Xã,NaKhe
838,28,Sủng Thài,Xã,SungThai
841,28,Hữu Vinh,Xã,HuuVinh
844,28,Lao Và Chải,Xã,LaoVaChai
847,28,Mậu Duệ,Xã,MauDue
850,28,Đông Minh,Xã,DongMinh
853,28,Mậu Long,Xã,MauLong
856,28,Ngam La,Xã,NgamLa
859,28,Ngọc Long,Xã,NgocLong
862,28,Đường Thượng,Xã,DuongThuong
865,28,Lũng Hồ,Xã,LungHo
868,28,Du Tiến,Xã,DuTien
871,28,Du Già,Xã,DuGia
874,29,Tam Sơn,Thị trấn,TamSon
877,29,Bát Đại Sơn,Xã,BatDaiSon
880,29,Nghĩa Thuận,Xã,NghiaThuan
883,29,Cán Tỷ,Xã,CanTy
886,29,Cao Mã Pờ,Xã,CaoMaPo
889,29,Thanh Vân,Xã,ThanhVan
892,29,Tùng Vài,Xã,TungVai
895,29,Đông Hà,Xã,DongHa
898,29,Quản Bạ,Xã,QuanBa
901,29,Lùng Tám,Xã,LungTam
904,29,Quyết Tiến,Xã,QuyetTien
907,29,Tả Ván,Xã,TaVan
910,29,Thái An,Xã,ThaiAn
913,30,Vị Xuyên,Thị trấn,ViXuyen
916,30,Nông Trường Việt Lâm,Thị trấn,NongTruongVietLam
919,30,Minh Tân,Xã,MinhTan
922,30,Thuận Hoà,Xã,ThuanHoa
925,30,Tùng Bá,Xã,TungBa
928,30,Thanh Thủy,Xã,ThanhThuy
931,30,Thanh Đức,Xã,ThanhDuc
934,30,Phong Quang,Xã,PhongQuang
937,30,Xín Chải,Xã,XinChai
940,30,Phương Tiến,Xã,PhuongTien
943,30,Lao Chải,Xã,LaoChai
946,24,Phương Độ,Xã,PhuongDo
949,24,Phương Thiện,Xã,PhuongThien
952,30,Cao Bồ,Xã,CaoBo
955,30,Đạo Đức,Xã,DaoDuc
958,30,Thượng Sơn,Xã,ThuongSon
961,30,Linh Hồ,Xã,LinhHo
964,30,Quảng Ngần,Xã,QuangNgan
967,30,Việt Lâm,Xã,VietLam
970,30,Ngọc Linh,Xã,NgocLinh
973,30,Ngọc Minh,Xã,NgocMinh
976,30,Bạch Ngọc,Xã,BachNgoc
979,30,Trung Thành,Xã,TrungThanh
982,31,Minh Sơn,Xã,MinhSon
985,31,Giáp Trung,Xã,GiapTrung
988,31,Yên Định,Xã,YenDinh
991,31,Yên Phú,Thị trấn,YenPhu
994,31,Minh Ngọc,Xã,MinhNgoc
997,31,Yên Phong,Xã,YenPhong
1000,31,Lạc Nông,Xã,LacNong
1003,31,Phú Nam,Xã,PhuNam
1006,31,Yên Cường,Xã,YenCuong
1009,31,Thượng Tân,Xã,ThuongTan
1012,31,Đường Âm,Xã,DuongAm
1015,31,Đường Hồng,Xã,DuongHong
1018,31,Phiêng Luông,Xã,PhiengLuong
1021,32,Vinh Quang,Thị trấn,VinhQuang
1024,32,Bản Máy,Xã,BanMay
1027,32,Thàng Tín,Xã,ThangTin
1030,32,Thèn Chu Phìn,Xã,ThenChuPhin
1033,32,Pố Lồ,Xã,PoLo
1036,32,Bản Phùng,Xã,BanPhung
1039,32,Túng Sán,Xã,TungSan
1042,32,Chiến Phố,Xã,ChienPho
1045,32,Đản Ván,Xã,DanVan
1048,32,Tụ Nhân,Xã,TuNhan
1051,32,Tân Tiến,Xã,TanTien
1054,32,Nàng Đôn,Xã,NangDon
1057,32,Pờ Ly Ngài,Xã,PoLyNgai
1060,32,Sán Xả Hồ,Xã,SanXaHo
1063,32,Bản Luốc,Xã,BanLuoc
1066,32,Ngàm Đăng Vài,Xã,NgamDangVai
1069,32,Bản Nhùng,Xã,BanNhung
1072,32,Tả Sử Choóng,Xã,TaSuChoong
1075,32,Nậm Dịch,Xã,NamDich
1081,32,Hồ Thầu,Xã,HoThau
1084,32,Nam Sơn,Xã,NamSon
1087,32,Nậm Tỵ,Xã,NamTy
1090,32,Thông Nguyên,Xã,ThongNguyen
1093,32,Nậm Khòa,Xã,NamKhoa
1096,33,Cốc Pài,Thị trấn,CocPai
1099,33,Nàn Xỉn,Xã,NanXin
1102,33,Bản Díu,Xã,BanDiu
1105,33,Chí Cà,Xã,ChiCa
1108,33,Xín Mần,Xã,XinMan
1114,33,Thèn Phàng,Xã,ThenPhang
1117,33,Trung Thịnh,Xã,TrungThinh
1120,33,Pà Vầy Sủ,Xã,PaVaySu
1123,33,Cốc Rế,Xã,CocRe
1126,33,Thu Tà,Xã,ThuTa
1129,33,Nàn Ma,Xã,NanMa
1132,33,Tả Nhìu,Xã,TaNhiu
1135,33,Bản Ngò,Xã,BanNgo
1138,33,Chế Là,Xã,CheLa
1141,33,Nấm Dẩn,Xã,NamDan
1144,33,Quảng Nguyên,Xã,QuangNguyen
1147,33,Nà Chì,Xã,NaChi
1150,33,Khuôn Lùng,Xã,KhuonLung
1153,34,Việt Quang,Thị trấn,VietQuang
1156,34,Vĩnh Tuy,Thị trấn,VinhTuy
1159,34,Tân Lập,Xã,TanLap
1162,34,Tân Thành,Xã,TanThanh
1165,34,Đồng Tiến,Xã,DongTien
1168,34,Đồng Tâm,Xã,DongTam
1171,34,Tân Quang,Xã,TanQuang
1174,34,Thượng Bình,Xã,ThuongBinh
1177,34,Hữu Sản,Xã,HuuSan
1180,34,Kim Ngọc,Xã,KimNgoc
1183,34,Việt Vinh,Xã,VietVinh
1186,34,Bằng Hành,Xã,BangHanh
1189,34,Quang Minh,Xã,QuangMinh
1192,34,Liên Hiệp,Xã,LienHiep
1195,34,Vô Điếm,Xã,VoDiem
1198,34,Việt Hồng,Xã,VietHong
1201,34,Hùng An,Xã,HungAn
1204,34,Đức Xuân,Xã,DucXuan
1207,34,Tiên Kiều,Xã,TienKieu
1210,34,Vĩnh Hảo,Xã,VinhHao
1213,34,Vĩnh Phúc,Xã,VinhPhuc
1216,34,Đồng Yên,Xã,DongYen
1219,34,Đông Thành,Xã,DongThanh
1222,35,Xuân Minh,Xã,XuanMinh
1225,35,Tiên Nguyên,Xã,TienNguyen
1228,35,Tân Nam,Xã,TanNam
1231,35,Bản Rịa,Xã,BanRia
1234,35,Yên Thành,Xã,YenThanh
1237,35,Yên Bình,Thị trấn,YenBinh
1240,35,Tân Trịnh,Xã,TanTrinh
1243,35,Tân Bắc,Xã,TanBac
1246,35,Bằng Lang,Xã,BangLang
1249,35,Yên Hà,Xã,YenHa
1252,35,Hương Sơn,Xã,HuongSon
1255,35,Xuân Giang,Xã,XuanGiang
1258,35,Nà Khương,Xã,NaKhuong
1261,35,Tiên Yên,Xã,TienYen
1264,35,Vĩ Thượng,Xã,ViThuong
1267,40,Sông Hiến,Phường,SongHien
1270,40,Sông Bằng,Phường,SongBang
1273,40,Hợp Giang,Phường,HopGiang
1276,40,Tân Giang,Phường,TanGiang
1279,40,Ngọc Xuân,Phường,NgocXuan
1282,40,Đề Thám,Phường,DeTham
1285,40,Hoà Chung,Phường,HoaChung
1288,40,Duyệt Trung,Phường,DuyetTrung
1290,42,Pác Miầu,Thị trấn,PacMiau
1291,42,Đức Hạnh,Xã,DucHanh
1294,42,Lý Bôn,Xã,LyBon
1296,42,Nam Cao,Xã,NamCao
1297,42,Nam Quang,Xã,NamQuang
1300,42,Vĩnh Quang,Xã,VinhQuang
1303,42,Quảng Lâm,Xã,QuangLam
1304,42,Thạch Lâm,Xã,ThachLam
1309,42,Vĩnh Phong,Xã,VinhPhong
1312,42,Mông Ân,Xã,MongAn
1315,42,Thái Học,Xã,ThaiHoc
1316,42,Thái Sơn,Xã,ThaiSon
1318,42,Yên Thổ,Xã,YenTho
1321,43,Bảo Lạc,Thị trấn,BaoLac
1324,43,Cốc Pàng,Xã,CocPang
1327,43,Thượng Hà,Xã,ThuongHa
1330,43,Cô Ba,Xã,CoBa
1333,43,Bảo Toàn,Xã,BaoToan
1336,43,Khánh Xuân,Xã,KhanhXuan
1339,43,Xuân Trường,Xã,XuanTruong
1342,43,Hồng Trị,Xã,HongTri
1343,43,Kim Cúc,Xã,KimCuc
1345,43,Phan Thanh,Xã,PhanThanh
1348,43,Hồng An,Xã,HongAn
1351,43,Hưng Đạo,Xã,HungDao
1352,43,Hưng Thịnh,Xã,HungThinh
1354,43,Huy Giáp,Xã,HuyGiap
1357,43,Đình Phùng,Xã,DinhPhung
1359,43,Sơn Lập,Xã,SonLap
1360,43,Sơn Lộ,Xã,SonLo
1363,45,Thông Nông,Thị trấn,ThongNong
1366,45,Cần Yên,Xã,CanYen
1367,45,Cần Nông,Xã,CanNong
1372,45,Lương Thông,Xã,LuongThong
1375,45,Đa Thông,Xã,DaThong
1378,45,Ngọc Động,Xã,NgocDong
1381,45,Yên Sơn,Xã,YenSon
1384,45,Lương Can,Xã,LuongCan
1387,45,Thanh Long,Xã,ThanhLong
1392,45,Xuân Hòa,Thị trấn,XuanHoa
1393,45,Lũng Nặm,Xã,LungNam
1399,45,Trường Hà,Xã,TruongHa
1402,45,Cải Viên,Xã,CaiVien
1411,45,Nội Thôn,Xã,NoiThon
1414,45,Tổng Cọt,Xã,TongCot
1417,45,Sóc Hà,Xã,SocHa
1420,45,Thượng Thôn,Xã,ThuongThon
1429,45,Hồng Sỹ,Xã,HongSy
1432,45,Quý Quân,Xã,QuyQuan
1435,45,Mã Ba,Xã,MaBa
1438,45,Ngọc Đào,Xã,NgocDao
1447,47,Trà Lĩnh,Thị trấn,TraLinh
1453,47,Tri Phương,Xã,TriPhuong
1456,47,Quang Hán,Xã,QuangHan
1462,47,Xuân Nội,Xã,XuanNoi
1465,47,Quang Trung,Xã,QuangTrung
1468,47,Quang Vinh,Xã,QuangVinh
1471,47,Cao Chương,Xã,CaoChuong
1474,49,Quốc Toản,Xã,QuocToan
1477,47,Trùng Khánh,Thị trấn,TrungKhanh
1480,47,Ngọc Khê,Xã,NgocKhe
1481,47,Ngọc Côn,Xã,NgocCon
1483,47,Phong Nậm,Xã,PhongNam
1489,47,Đình Phong,Xã,DinhPhong
1495,47,Đàm Thuỷ,Xã,DamThuy
1498,47,Khâm Thành,Xã,KhamThanh
1501,47,Chí Viễn,Xã,ChiVien
1504,47,Lăng Hiếu,Xã,LangHieu
1507,47,Phong Châu,Xã,PhongChau
1516,47,Trung Phúc,Xã,TrungPhuc
1519,47,Cao Thăng,Xã,CaoThang
1522,47,Đức Hồng,Xã,DucHong
1525,47,Đoài Dương,Xã,DoaiDuong
1534,48,Minh Long,Xã,MinhLong
1537,48,Lý Quốc,Xã,LyQuoc
1540,48,Thắng Lợi,Xã,ThangLoi
1543,48,Đồng Loan,Xã,DongLoan
1546,48,Đức Quang,Xã,DucQuang
1549,48,Kim Loan,Xã,KimLoan
1552,48,Quang Long,Xã,QuangLong
1555,48,An Lạc,Xã,AnLac
1558,48,Thanh Nhật,Thị trấn,ThanhNhat
1561,48,Vinh Quý,Xã,VinhQuy
1564,48,Thống Nhất,Xã,ThongNhat
1567,48,Cô Ngân,Xã,CoNgan
1573,48,Thị Hoa,Xã,ThiHoa
1576,49,Quảng Uyên,Thị trấn,QuangUyen
1579,49,Phi Hải,Xã,PhiHai
1582,49,Quảng Hưng,Xã,QuangHung
1594,49,Độc Lập,Xã,DocLap
1597,49,Cai Bộ,Xã,CaiBo
1603,49,Phúc Sen,Xã,PhucSen
1606,49,Chí Thảo,Xã,ChiThao
1609,49,Tự Do,Xã,TuDo
1615,49,Hồng Quang,Xã,HongQuang
1618,49,Ngọc Động,Xã,NgocDong
1624,49,Hạnh Phúc,Xã,HanhPhuc
1627,49,Tà Lùng,Thị trấn,TaLung
1630,49,Bế Văn Đàn,Xã,BeVanDan
1636,49,Cách Linh,Xã,CachLinh
1639,49,Đại Sơn,Xã,DaiSon
1645,49,Tiên Thành,Xã,TienThanh
1648,49,Hoà Thuận,Thị trấn,HoaThuan
1651,49,Mỹ Hưng,Xã,MyHung
1654,51,Nước Hai,Thị trấn,NuocHai
1657,51,Dân Chủ,Xã,DanChu
1660,51,Nam Tuấn,Xã,NamTuan
1666,51,Đại Tiến,Xã,DaiTien
1669,51,Đức Long,Xã,DucLong
1672,51,Ngũ Lão,Xã,NguLao
1675,51,Trương Lương,Xã,TruongLuong
1687,51,Hồng Việt,Xã,HongViet
1693,40,Vĩnh Quang,Xã,VinhQuang
1696,51,Hoàng Tung,Xã,HoangTung
1699,51,Nguyễn Huệ,Xã,NguyenHue
1702,51,Quang Trung,Xã,QuangTrung
1705,40,Hưng Đạo,Xã,HungDao
1708,51,Bạch Đằng,Xã,BachDang
1711,51,Bình Dương,Xã,BinhDuong
1714,51,Lê Chung,Xã,LeChung
1720,40,Chu Trinh,Xã,ChuTrinh
1723,51,Hồng Nam,Xã,HongNam
1726,52,Nguyên Bình,Thị trấn,NguyenBinh
1729,52,Tĩnh Túc,Thị trấn,TinhTuc
1732,52,Yên Lạc,Xã,YenLac
1735,52,Triệu Nguyên,Xã,TrieuNguyen
1738,52,Ca Thành,Xã,CaThanh
1744,52,Vũ Nông,Xã,VuNong
1747,52,Minh Tâm,Xã,MinhTam
1750,52,Thể Dục,Xã,TheDuc
1756,52,Mai Long,Xã,MaiLong
1762,52,Vũ Minh,Xã,VuMinh
1765,52,Hoa Thám,Xã,HoaTham
1768,52,Phan Thanh,Xã,PhanThanh
1771,52,Quang Thành,Xã,QuangThanh
1774,52,Tam Kim,Xã,TamKim
1777,52,Thành Công,Xã,ThanhCong
1780,52,Thịnh Vượng,Xã,ThinhVuong
1783,52,Hưng Đạo,Xã,HungDao
1786,53,Đông Khê,Thị trấn,DongKhe
1789,53,Canh Tân,Xã,CanhTan
1792,53,Kim Đồng,Xã,KimDong
1795,53,Minh Khai,Xã,MinhKhai
1801,53,Đức Thông,Xã,DucThong
1804,53,Thái Cường,Xã,ThaiCuong
1807,53,Vân Trình,Xã,VanTrinh
1810,53,Thụy Hùng,Xã,ThuyHung
1813,53,Quang Trọng,Xã,QuangTrong
1816,53,Trọng Con,Xã,TrongCon
1819,53,Lê Lai,Xã,LeLai
1822,53,Đức Long,Xã,DucLong
1828,53,Lê Lợi,Xã,LeLoi
1831,53,Đức Xuân,Xã,DucXuan
1834,58,Nguyễn Thị Minh Khai,Phường,NguyenThiMinhKhai
1837,58,Sông Cầu,Phường,SongCau
1840,58,Đức Xuân,Phường,DucXuan
1843,58,Phùng Chí Kiên,Phường,PhungChiKien
1846,58,Huyền Tụng,Phường,HuyenTung
1849,58,Dương Quang,Xã,DuongQuang
1852,58,Nông Thượng,Xã,NongThuong
1855,58,Xuất Hóa,Phường,XuatHoa
1858,60,Bằng Thành,Xã,BangThanh
1861,60,Nhạn Môn,Xã,NhanMon
1864,60,Bộc Bố,Xã,BocBo
1867,60,Công Bằng,Xã,CongBang
1870,60,Giáo Hiệu,Xã,GiaoHieu
